sum_departures_scheduled,sum_departures_performed,sum_payload,sum_seats,sum_passengers,sum_freight,sum_mail,sum_distance,sum_ramp_to_ramp,sum_air_time,year,quarter,rev_quarter,rev_year
115401.0,110990.0,4076226000,16729650,13742788,23612759,0.0,2547094.0,13635988,11566643,2019,2,2.0,2019
330225.0,316914.0,11717606800,48054638,37544847,66925434,0.0,9594943.0,39371669,33109349,2019,1,1.0,2019
339914.0,338023.0,12456135800,51102889,41586530,72666699,0.0,9679917.0,41636153,35179765,2018,4,4.0,2018
342620.0,338455.0,12415396600,50962169,41358741,68172027,0.0,9298276.0,41467364,35001533,2018,3,3.0,2018
346904.0,343736.0,12618966400,51793160,42872537,70026129,0.0,7883733.0,42440130,35893094,2018,2,2.0,2018
323113.0,316787.0,11632405780,47742301,37564882,63471841,0.0,6660610.0,38959895,32889662,2018,1,1.0,2018
330330.0,328643.0,12025447425,49375341,40697429,73254686,0.0,6307506.0,39484551,33339873,2017,4,4.0,2017
339747.0,332910.0,12018036686,49635100,40545683,72562961,0.0,8027088.0,40577271,34134890,2017,3,3.0,2017
340697.0,338860.0,12155264352,50323552,41669768,75270463,0.0,8122506.0,41859352,35533068,2017,2,2.0,2017
318670.0,313551.0,11231124008,46533543,35711316,71300684,0.0,7935821.0,38732589,32882743,2017,1,1.0,2017
326008.0,323527.0,11582625435,48010055,39157852,71634070,0.0,7680135.0,39356612,33404499,2016,4,4.0,2016
330066.0,326606.0,11627922190,48209113,39323571,72443551,0.0,7546324.0,39785212,33792428,2016,3,3.0,2016
329988.0,327885.0,11612766213,48166920,39895892,77414461,0.0,7704143.0,40261192,34337860,2016,2,2.0,2016
313382.0,308563.0,10908907600,45241535,34971362,1092507.0,0.0,7535223.0,37812407,32171265,2016,1,1.0,2016
