quarter,year,rev
Q3,2019,5639
Q2,2019,5909
Q1,2019,5149
Q4,2018,5704
Q3,2018,5575
Q2,2018,5742
Q1,2018,4944
Q4,2017,5258
Q3,2017,5303
Q2,2017,5731
Q1,2017,4854
Q4,2016,4940
Q3,2016,5139
Q2,2016,5384
Q1,2016,4826
Q4,2015,4977
Q3,2015,5318
Q2,2015,5111
Q1,2015,4414
Q4,2014,4628
Q3,2014,4800
Q2,2014,5011
Q1,2014,4166
Q4,2013,4427
Q3,2013,4545
Q2,2013,4643
Q1,2013,4084
Q4,2012,4172
Q3,2012,4309
Q2,2012,4616
Q1,2012,3991
Q4,2011,4108
Q3,2011,4311
Q2,2011,4136
Q1,2011,3103
Q4,2010,3114
Q3,2010,3192
Q2,2010,3168
Q1,2010,2630
Q4,2009,2711
Q3,2009,2666
Q2,2009,2616
Q1,2009,2357
Q4,2008,2733
Q3,2008,2891
Q2,2008,2869
Q1,2008,2530
Q4,2007,2492
Q3,2007,2588
Q2,2007,2583
Q1,2007,2198
Q4,2006,2276
Q3,2006,2342
Q2,2006,2449
Q1,2006,2019
Q4,2005,1988
Q3,2005,1989
Q2,2005,1944
Q1,2005,1663
